Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C12, C2, C20, C22, C27, C28, C29, C4, C6, C8",0603,12,0.01uF,C57112
"C11, C14, C16, C9",0603,4,4.7uF,C19666
"C13, C18, C23, C24, C25, C3, C5, C7",0603,8,0.1uF,C14663
"D1, D2",0603,2,LED,C2286
J1,USB-B-TH_USB-B10-BRW,1,USB_B,C720549
"J10, J9",PinHeader_1x04_P2.54mm_Vertical,2,Conn_01x04,
"J11, J7, J8",PinHeader_1x03_P2.54mm_Vertical,3,Conn_01x03_Pin,
J12,PinHeader_2x05_P1.27mm_Vertical,1,Conn_ARM_JTAG_SWD_10,C239059
J13,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Pin,C146690
"J14, J2, J3, J4, J5, J6",PinSocket_1x05_P2.54mm_Vertical,6,Conn_01x05,C50950
"R1, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R2, R20, R3, R4, R43, R46, R49, R5, R50, R51, R52, R6, R7, R8, R9",0603,26,10k,C25804
"R21, R22, R41, R42",0603,4,3k,C4211
"R44, R45",0603,2,1k,C21190
"R47, R48",0603,2,100k,C25803
"RV1, RV2, RV3, RV4, RV5, RV6, RV7, RV8",PinSocket_1x03_P2.54mm_Vertical,8,10k,C146690
"SW1, SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW2, SW27, SW28, SW29, SW3, SW4, SW5, SW6, SW7, SW8, SW9",PinSocket_1x02_P2.54mm_Vertical,19,SW_Push,C49661
"SW17, SW18, SW19, SW20, SW21, SW22, SW23, SW32, SW33, SW34, SW35, SW36, SW37, SW38",PinSocket_1x03_P2.54mm_Vertical,14,SW_SPDT,C146690
SW24,SW-SMD_L3.9-W3.0-P4.45,1,NRST,C720477
SW25,SW-SMD_L3.9-W3.0-P4.45,1,CFG,C720477
SW26,SW-SMD_L3.9-W3.0-P4.45,1,BOOT,C720477
"TP1, TP2, TP3, TP4, TP5, TP6, TP7",TestPoint_Pad_D2.0mm,7,TestPoint,
"U1, U2, U5, U7",WQFN-24-1EP_4x4mm_P0.5mm_EP2.45x2.45mm,4,TCA9555RTWR,C140277
U3,LQFP-48_7x7mm_P0.5mm,1,STM32F072CBTx,C81720
U6,SOT-23-5,1,TPS76333,C7100
