Designator,Mid X,Mid Y,Rotation,Layer
C1,167.225,-79.0,0.0,top
C10,158.0,-99.0,270.0,top
C11,109.5,-86.5,270.0,top
C12,168.5,-72.5,0.0,top
C13,94.5,-97.5,90.0,top
C14,103.0,-86.0,270.0,top
C16,104.275,-68.5,0.0,top
C18,156.5,-57.5,90.0,top
C2,156.5,-70.5,90.0,top
C20,156.5,-61.725,90.0,top
C22,167.225,-63.5,0.0,top
C23,135.225,-81.0,0.0,top
C24,115.725,-104.5,180.0,top
C25,152.655,-94.0,0.0,top
C27,167.725,-91.0,0.0,top
C28,170.0,-107.18,0.0,top
C29,167.775,-99.5,0.0,top
C3,103.0,-80.18,90.0,top
C4,160.0,-90.275,90.0,top
C5,105.275,-71.0,0.0,top
C6,155.5,-79.5,90.0,top
C7,113.0,-83.5,180.0,top
C8,167.5,-112.0,0.0,top
C9,116.0,-76.0,270.0,top
D1,88.0,-118.5,90.0,top
D2,91.5,-118.5,90.0,top
J1,97.5775,-79.5,270.0,top
J10,105.27,-99.0,90.0,top
J11,114.5,-99.04,0.0,top
J12,107.0,-92.865,90.0,top
J13,97.0,-63.5,0.0,top
J14,164.28,-57.475,90.0,top
J2,164.28,-66.58,90.0,top
J3,164.28,-84.79,90.0,top
J4,164.28,-75.685,90.0,top
J5,164.28,-103.0,90.0,top
J6,164.28,-93.895,90.0,top
J7,119.96,-49.5,90.0,top
J8,110.04,-49.5,90.0,top
J9,105.27,-103.5,90.0,top
R1,159.0,-70.5,270.0,top
R10,167.175,-81.5,180.0,top
R11,161.5,-79.5,90.0,top
R12,164.5,-79.5,90.0,top
R13,167.5,-114.0,180.0,top
R14,170.0,-109.0,180.0,top
R15,165.0,-109.0,90.0,top
R16,167.5,-106.5,90.0,top
R17,160.0,-99.0,90.0,top
R18,167.675,-97.0,180.0,top
R19,162.0,-97.675,90.0,top
R2,168.5,-69.5,180.0,top
R20,165.0,-97.675,90.0,top
R21,107.175,-96.5,0.0,top
R22,103.175,-96.5,0.0,top
R3,162.0,-70.5,90.0,top
R4,165.0,-70.5,90.0,top
R41,108.0,-65.0,270.0,top
R42,106.0,-65.18,270.0,top
R43,94.5,-101.0,90.0,top
R44,88.0,-114.5,270.0,top
R45,91.5,-114.5,270.0,top
R46,96.5,-96.68,270.0,top
R47,103.0,-61.0,270.0,top
R48,100.5,-58.5,270.0,top
R49,158.5,-61.675,270.0,top
R5,157.0,-90.325,270.0,top
R50,167.0,-60.5,180.0,top
R51,161.5,-61.675,90.0,top
R52,164.5,-61.675,90.0,top
R6,167.825,-88.0,180.0,top
R7,162.0,-88.5,90.0,top
R8,165.0,-88.675,90.0,top
R9,157.5,-79.5,270.0,top
RV1,98.0,-41.04,0.0,top
RV2,104.4,-41.04,0.0,top
RV3,110.8,-41.04,0.0,top
RV4,117.2,-41.04,0.0,top
RV5,123.6,-41.04,0.0,top
RV6,130.0,-41.04,0.0,top
RV7,136.4,-41.04,0.0,top
RV8,142.8,-41.04,0.0,top
SW1,125.97,-93.8,90.0,top
SW10,143.23,-88.210714,90.0,top
SW11,143.23,-82.421429,90.0,top
SW12,143.23,-76.632143,90.0,top
SW13,143.35,-70.842857,90.0,top
SW14,143.35,-65.053571,90.0,top
SW15,143.35,-59.264286,90.0,top
SW16,143.02,-53.475,90.0,top
SW17,97.9,-119.54,0.0,top
SW18,104.31,-119.54,0.0,top
SW19,110.72,-119.54,0.0,top
SW2,125.97,-88.039286,90.0,top
SW20,117.13,-119.54,0.0,top
SW21,123.54,-119.54,0.0,top
SW22,129.95,-119.54,0.0,top
SW23,136.36,-119.54,0.0,top
SW24,89.5,-98.25,180.0,top
SW25,89.5,-105.0,180.0,top
SW26,89.5,-91.5,180.0,top
SW27,131.525,-105.02,0.0,top
SW28,137.5,-105.02,0.0,top
SW29,143.525,-105.02,0.0,top
SW3,125.97,-82.278571,90.0,top
SW32,149.2,-41.04,0.0,top
SW33,142.77,-119.54,0.0,top
SW34,155.6,-41.04,0.0,top
SW35,162.0,-41.04,0.0,top
SW36,162.0,-119.54,0.0,top
SW37,149.18,-119.54,0.0,top
SW38,155.59,-119.54,0.0,top
SW4,125.97,-76.517857,90.0,top
SW5,125.89,-70.757143,90.0,top
SW6,125.89,-64.996429,90.0,top
SW7,125.89,-59.235714,90.0,top
SW8,126.02,-53.475,90.0,top
SW9,143.23,-94.0,90.0,top
U1,151.9375,-98.25,0.0,top
U2,134.25,-76.0625,180.0,top
U3,109.25,-77.25,90.0,top
U5,116.5625,-109.25,0.0,top
U6,106.3625,-86.55,180.0,top
U7,152.25,-57.5625,270.0,top
